molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL3879801,IC50,333.0,nM,CHEMBL1050622
CHEMBL941,CHEMBL5393,IC50,4070.0,nM,CHEMBL1047706
CHEMBL941,CHEMBL5393,IC50,3380.0,nM,CHEMBL1047707
CHEMBL941,CHEMBL1844,IC50,1274.0,nM,CHEMBL1067459
CHEMBL941,CHEMBL612545,IC50,8437.0,nM,CHEMBL1067460
CHEMBL941,CHEMBL3879801,IC50,5400.0,nM,CHEMBL1069517
CHEMBL941,CHEMBL3879801,IC50,280.0,nM,CHEMBL1069516
CHEMBL941,CHEMBL2096618,IC50,1.1,nM,CHEMBL1110561
CHEMBL941,CHEMBL612545,IC50,39.0,nM,CHEMBL1110554
CHEMBL941,CHEMBL1936,IC50,58.0,nM,CHEMBL1110555
CHEMBL941,CHEMBL1862,IC50,658.0,nM,CHEMBL1110556
CHEMBL941,CHEMBL612545,IC50,100.0,nM,CHEMBL1111496
CHEMBL941,CHEMBL1862,IC50,5000.0,nM,CHEMBL1110557
CHEMBL941,CHEMBL1862,IC50,5000.0,nM,CHEMBL1110558
CHEMBL941,CHEMBL3563,IC50,297000.0,nM,CHEMBL1119972
CHEMBL941,CHEMBL3563,IC50,207000.0,nM,CHEMBL1119971
CHEMBL941,CHEMBL3879801,IC50,350.0,nM,CHEMBL1221081
CHEMBL941,CHEMBL3099,IC50,10.8,nM,CHEMBL1220002
CHEMBL941,CHEMBL5145,IC50,100000.0,nM,CHEMBL1220001
CHEMBL941,CHEMBL260,IC50,100000.0,nM,CHEMBL1217288
CHEMBL941,CHEMBL2599,IC50,10000.0,nM,CHEMBL1249640
CHEMBL941,CHEMBL1862,IC50,188.0,nM,CHEMBL1249646
CHEMBL941,CHEMBL1936,IC50,413.0,nM,CHEMBL1249647
CHEMBL941,CHEMBL1913,IC50,386.0,nM,CHEMBL1249645
CHEMBL941,CHEMBL612558,IC50,190.0,nM,CHEMBL1249207
CHEMBL941,CHEMBL612558,IC50,20000.0,nM,CHEMBL1249208
CHEMBL941,CHEMBL2096618,IC50,204.0,nM,CHEMBL1249194
CHEMBL941,CHEMBL3879801,IC50,393.0,nM,CHEMBL1249193
CHEMBL941,CHEMBL3879801,IC50,88.0,nM,CHEMBL1249192
CHEMBL941,CHEMBL3879801,IC50,55.0,nM,CHEMBL1249783
CHEMBL941,CHEMBL3879801,IC50,190.0,nM,CHEMBL1249209
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL1249210
CHEMBL941,CHEMBL612558,IC50,112.0,nM,CHEMBL1249211
CHEMBL941,CHEMBL612558,IC50,10000.0,nM,CHEMBL1249212
CHEMBL941,CHEMBL383,IC50,10000.0,nM,CHEMBL1249213
